"Reference","Value","Mouser Part Number","Qty","DNP"
"C1","4u7","187-CL21A475KPFNNNF","1",""
"C2","1u","187-CL21B105MBFNNNE","1",""
"C3,C4,C5,C6,C10,C11,C13","100n","187-CL21B104KACNNND","7",""
"C7,C8","10p","603-CC805JRNPO9BN100","2",""
"C9,C12","1u","187-CL21B105KPFNNNE","2",""
"D1","Red","710-150080RS75000","1",""
"D2","Green","710-150080GS75000","1",""
"FB1","500mA","652-MH2029-301Y","1",""
"J1","Termosensor","305-234832","1",""
"J2","Type-C","656-DX07S016JA1R1500","1",""
"J4","Debug","649-1012937990604BLF","1",""
"J6","MCH","710-66100211722","1",""
"J8","Display","649-10027011-404HLF","1",""
"L1","27n","652-CE201210-27NJ","1",""
"Q1","IRLR8726","942-IRLR8726TRPBF","1",""
"R1,R7,R9,R10,R11","10k","603-RC0805FR-1010KL","5",""
"R2,R5","2k2","603-RC0805FR-072K2L","2",""
"R3","8k66","603-AC0805JR-073K3L","1",""
"R4","4k7","603-RC0805FR-074K7P","1",""
"R6","50","603-AC0805FR-07100RL","1",""
"R8","220","603-RT0805FRE07220RL","1",""
"S1","START_STOP","612-TL1250F180GQRCLR","1",""
"SW1","BOOT","611-TDD01H0SB1R","1",""
"SW2","RESET","611-PTS645VH312","1",""
"SW4","UP","611-PTS645VL582","1",""
"SW5","DOWN","611-PTS645VL582","1",""
"U1","STM32G431CBTx"," 511-STM32G431CBT6","1",""
"U3","TLV701","595-TLV70133DBVRM3","1",""
"Y1","16Mhz, CL=10p","81-XRCGB16M000FXN02R","1",""
